Finished?,Title,Author,Genre,Format,Status
Yes,I Am David,Anne Holm,"Fiction, History",Paperback,COMPLETED
Yes,The Little Prince,Antoine de Saint-Exupéry,"Classics, Fantasy, Fiction",E-Book,COMPLETED
Yes,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,"Fiction, Romance, Young Adult",Audiobook,COMPLETED
Yes,"We Should All Be Feminists ",Chimamanda Ngozi Adichie,"Essays, Feminism, Non Fiction",E-Book,COMPLETED
Yes,The Divine Comedy,Dante Alighieri,"Classics, Fiction, Poetry",Paperback,COMPLETED
Yes,Rebecca,Daphne du Maurier,"Fiction, Period",Paperback,COMPLETED
Yes,ATLA: Zuko's Story,"Dave Roman, Alison Wilgus, Nina Matsumoto","Adventure, Fantasy, Fiction, Graphic Novel",Graphic Novel,COMPLETED
Yes,The Guilty Feminist,Deborah Frances-White,"Feminism, Non Fiction",E-Book,COMPLETED
Yes,Wuthering Heights,Emily Brontë,"Classics, Fiction, Period",Hardback,COMPLETED
Yes,The Night Circus,Erin Morgenstern,"Fantasy, Fiction, Period, Romance",Paperback,COMPLETED
Yes,The Old Man and the Sea,Ernest Hemingway,"Classics, Fiction",E-Book,COMPLETED
Yes,ATLA: The Promise,"Gene Luen Yang, Gurihiru, Michael Heisler","Adventure, Comedy, Fantasy, Fiction, Graphic Novel",Graphic Novel,COMPLETED
Yes,ATLA: Rebound,"Gene Luen Yang, Ryan Hill","Adventure, Fantasy, Fiction, Graphic Novel",Graphic Novel,COMPLETED
Yes,1984,George Orwell,"Classics, Fiction, Period",E-Book,COMPLETED
Yes,Earth Abides,George R. Stewart,"Fiction, Horror, Sci-Fi",Paperback,COMPLETED
Yes,The War of the Worlds,"H. G. Wells ","Classics, Fiction, Sci-Fi",Paperback,COMPLETED
Yes,The Tales of Beedle the Bard,J. K. Rowling,"Anthology, Fantasy, Fiction, Short Stories",Audiobook,COMPLETED
Yes,The Fellowship of the Ring,J. R. R. Tolkien,"Adventure, Fantasy, Fiction",Paperback,COMPLETED
Yes,Emma,Jane Austen,"Classics, Fiction, Period",Audiobook,COMPLETED
Yes,The Gilda Stories,Jewelle Gomez,"Fantasy, Fiction, History, Horror, Romance",Libby,COMPLETED
Yes,Letter from Birmingham Jail,Martin Luther King Jr.,"Essays, History, Non Fiction, Politics",Audiobook,COMPLETED
Yes,World War Z,Max Brooks,"Contemporary, Fiction, Sci-Fi",Paperback,COMPLETED
Yes,ATLA: The Lost Adventures,"Michael Dante DiMartino, Bryan Konietzko","Adventure, Comedy, Fantasy, Fiction, Graphic Novel, Short Stories",Graphic Novel,COMPLETED
Yes,ATLA: The Search,"Michael Dante DiMartino, Bryan Konietzko, Gene Luen Yang","Adventure, Fantasy, Fiction, Graphic Novel",Graphic Novel,COMPLETED
Yes,TLOK: Turf Wars,"Michael Dante DiMartino, Bryan Konietzko, Irene Koh, Vivian Ng","Adventure, Fantasy, Fiction, Graphic Novel",Graphic Novel,COMPLETED
Yes,TLOK: Ruins of the Empire,"Michael Dante DiMartino, Bryan Konietzko, Michelle Wong, Killian Ng","Adventure, Fantasy, Fiction, Graphic Novel",Graphic Novel,COMPLETED
Yes,TLOK: Friends for Life,"Michael Dante DiMartino, Heather Campbell","Adventure, Fantasy, Fiction, Graphic Novel",Graphic Novel,COMPLETED
Yes,TLOK: Lost Pets,"Michael, Dante DiMartino, Jayd Aït-Kaci","Adventure, Fantasy, Fiction, Graphic Novel",Graphic Novel,COMPLETED
Yes,The Salt Roads,Nalo Hopkinson,"Caribbean, Fiction, History, Romance",Libby,COMPLETED
Yes,The Last of Us: American Dreams,"Neil Druckmann, Faith Erin Hicks, Rachelle Rosenburg","Adventure, Fiction, Graphic Novel, Horror",Graphic Novel,COMPLETED
Yes,Coraline,Neil Gailman,"Childrens, Fantasy, Horror",Libby,COMPLETED
Yes,Norse Mythology,Neil Gaiman,"Fantasy, Fiction, Mythology, Short Stories",Libby,COMPLETED
Yes,"Check, Please! Book 2: Stick & Scones",Ngozi Ukazu,"Contemporary, Fiction, Graphic Novel, Romance",Webcomic,COMPLETED
Yes,The Picture of Dorian Gray,Oscar Wilde,"Classics, Fantasy, Fiction, Period",Paperback,COMPLETED
Yes,A Monster Calls,Patrick Ness,"Childrens, Fiction, Horror",Paperback,COMPLETED
Yes,The Slow Regard of Silent Things,Patrick Rothfuss,"Adventure, Fantasy, Fiction, Mystery",Audiobook,COMPLETED
Yes,The Wise Man's Fear,Patrick Rothfuss,"Adventure, Fantasy, Fiction",Audiobook,COMPLETED
Yes,The Name of the Wind,Patrick Rothfuss,"Adventure, Fantasy, Fiction",Audiobook,COMPLETED
Yes,The Collectors,Philip Pullman,"Adventure, Childrens, Fantasy, Fiction",Audiobook,COMPLETED
Yes,Once Upon a Time in the North,Philip Pullman,"Adventure, Childrens, Fantasy, Fiction",Hardback,COMPLETED
Yes,Lyra's Oxfrod,Philip Pullman,"Adventure, Childrens, Fantasy, Fiction, Period",Hardback,COMPLETED
Yes,The Amber Spyglass,Philip Pullman,"Adventure, Childrens, Fantasy, Fiction",Paperback,COMPLETED
Yes,"The Subtle Knife ","Philip Pullman ","Adventure, Childrens, Fantasy, Fiction",Paperback,COMPLETED
Yes,"Northern Lights ",Philip Pullman,"Adventure, Childrens, Fantasy, Fiction",Paperback,COMPLETED
Yes,Her Royal Highness,Rachel Hawkins,"Contemporary, Romance, Young Adult",E-Book,COMPLETED
Yes,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Classics, Fiction, Period",Audiobook,COMPLETED
Yes,Treasure Island,Robert Louis Stevenson,"Adventure, Classics, Fiction, Period",Hardback,COMPLETED
Yes,Conversations with Friends,Sally Rooney,"Contemporary, Fiction",Libby,COMPLETED
Yes,Normal People,Sally Rooney,"Contemporary, Fiction, Romance",Libby,COMPLETED
Yes,"Midnight Sun ","Stephanie Meyer ","Fantasy, Fiction, Romance",Hardback,COMPLETED
Yes,Salem's Lot,Stephen King,"Fantasy, Fiction, Horror",Paperback,COMPLETED
Yes,Daisy Jones & The Six,Taylor Jenkins Reid,"Adult, Contemporary, Fiction, Romance",Audiobook,COMPLETED
Yes,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Contemporary, Fiction, Romance",E-Book,COMPLETED
Yes,Before the Coffee Gets Cold,Toshikazu Kawaguchi,"Contemporary, Fiction, Sci-Fi, Short Stories",Paperback,COMPLETED
Yes,"The Memory Police ",Yōko Ogawa,Fiction,Paperback,COMPLETED
Yes,Sapiens: A Breif History of Humankind,Yuval Noah Harari,Non Fiction,E-Book,COMPLETED
