Finished?,Name,Author,Genre,Format,Status,Date Started,Date Finished
Yes,Glasgow Zen,Alan Spence,Poetry,Libby,COMPLETED,"January 31, 2021","January 31, 2021"
Yes,Radio Silence,Alice Oseman,"Contemporary, Fiction, Young Adult",E-Book,COMPLETED,"July 14, 2021","July 18, 2021"
Yes,Heartstopper Volume 3,Alice Oseman,"Fiction, Romance, Young Adult",Paperback,COMPLETED,"May 4, 2021","May 4, 2021"
Yes,Heartstopper Volume 2,Alice Oseman,"Fiction, Romance, Young Adult",Paperback,COMPLETED,"May 4, 2021","May 4, 2021"
Yes,Heartstopper Volume 1,Alice Oseman,"Fiction, Romance, Young Adult",Paperback,COMPLETED,"May 4, 2021","May 4, 2021"
Yes,The Hill We Climb: An Inagural Poem for the Country,Amanda Gorman,Poetry,Hardback,COMPLETED,"May 18, 2021","May 18, 2021"
Yes,"First, Know What You Want",Andrew Halfacre,"Non Fiction, Self-Help",Paperback,COMPLETED,"March 15, 2021","April 5, 2021"
Yes,Invisible Women: Exposing Data Bias in a World Designed for Men,Caroline Criado Perez,"Feminism, Non Fiction",E-Book,COMPLETED,"March 9, 2021","July 3, 2021"
Yes,One Last Stop,Casey McQuiston,"Contemporary, Fiction, Romance",Libby,COMPLETED,"December 15, 2021","February 1, 2022"
Yes,The Flowers of Evil,"Charles Baudelaire ","Fiction, Poetry",Other,COMPLETED,"January 31, 2021","April 25, 2021"
Yes,A Christmas Carol,Charles Dickens,"Classics, Fiction, Period",Audiobook,COMPLETED,"December 4, 2021","December 4, 2021"
Yes,Tiny Beautiful Things: Advice on Love and Life from Someone Who's Been There,Cheryl Strayed,Non Fiction,E-Book,COMPLETED,"March 29, 2021","April 27, 2021"
Yes,Sadie,Courtney Summers,"Contemporary, Crime, Fiction, Mystery",Libby,COMPLETED,"December 11, 2021","December 14, 2021"
Yes,The Divine Comedy,Dante Alighieri,"Classics, Fiction, Poetry",Paperback,COMPLETED,"December 13, 2020","January 18, 2021"
Yes,Jamaica Inn,Daphne du Maurier,"Classics, Fiction, Period",Audiobook,COMPLETED,"March 31, 2021","May 2, 2021"
