Finished?,DNF?,Name,Author,Genre,Format,Status,Date Started,Date Finished,Rating
Yes,No,Notebook of a Return to the Native Land,Aimé Césaire,"Fiction, Poetry",E-Book,COMPLETED,"June 6, 2022","June 7, 2022",⭐️⭐️⭐️⭐️⭐️
Yes,No,Batman: The Killing Joke,Alan Moore,"Crime, Fiction, Thriller",Libby,COMPLETED,"August 26, 2022","August 26, 2022",⭐️⭐️⭐️
Yes,No,"Watchmen ",Alan Moore,"Contemporary, Fiction, Mystery",E-Book,COMPLETED,"February 22, 2022","June 26, 2022",⭐️⭐️
Yes,No,Heartstopper Vol.4,Alice Oseman,"Contemporary, Fiction, Romance",Paperback,COMPLETED,"January 28, 2022","January 28, 2022",⭐️⭐️⭐️⭐️⭐️
Yes,No,"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex",Angela Chen,Non Fiction,Libby,COMPLETED,"August 25, 2022","August 30, 2022",⭐️⭐️⭐️⭐️
Yes,No,Are Prisons Obsolete?,Angela Y. Davis,"Non Fiction, Politics",Other,COMPLETED,"June 27, 2022","June 29, 2022",⭐️⭐️⭐️⭐️⭐️
Yes,No,The Master’s Tools Will Never Dismantle the Master’s House,Audre Lorde,Non Fiction,Paperback,COMPLETED,"July 10, 2022","July 24, 2022",⭐️⭐️⭐️⭐️⭐️
Yes,No,Light of Other Days,Bob Shaw,"Fiction, Sci-Fi, Short Stories",Newsletter,COMPLETED,"April 8, 2022","April 8, 2022",⭐️⭐️⭐️
Yes,No,Paper Girls 3,"Brian K. Vaughan, Cliff Chiang, Matt Wilson, Jared K. Fletcher","Fantasy, Fiction, Sci-Fi",Libby,COMPLETED,"August 19, 2022","August 19, 2022",⭐️⭐️⭐️
Yes,No,Paper Girls 2,"Brian K. Vaughan, Cliff Chiang, Matt Wilson, Jared K. Fletcher","Fantasy, Fiction, Sci-Fi",Paperback,COMPLETED,"August 17, 2022","August 18, 2022",⭐️⭐️⭐️
Yes,No,Paper Girls 1,"Brian K. Vaughan, Cliff Chiang, Matt Wilson, Jared K. Fletcher","Fantasy, Fiction, Sci-Fi",Paperback,COMPLETED,"August 17, 2022","August 17, 2022",⭐️⭐️⭐️
