Title,Author,DNF?,Date Finished,Date Started,Favourite?,Format,Genre,Owned/Borrowed?,Rating,Status
TOUCH: A Facing the Sun Zine,ArtbyTesslyn,No,"February 27, 2023","February 27, 2023",No,PDF,"Fiction, Sci-Fi, Short Stories",Owned,⭐️⭐️⭐️⭐️,Done
Show Your Work!,Austin Kleon,No,,"February 5, 2023",No,Ebook,"Non-fiction, Self-Help",Borrowed (Library),,Done
101 Essays That Will Change the Way You Think,Brianna Wiest,No,"February 17, 2023","February 14, 2023",No,Audiobook,"Non-fiction, Self-Help",Borrowed (Library),⭐️⭐️,Done
Open Water,Caleb Azumah Nelson,No,"August 27, 2023","August 20, 2023",No,Paperback,"Contemporary, Fiction",Owned,⭐️⭐️⭐️⭐️,Done
So Late in the Day,Claire Keegan,No,"December 15, 2023","December 15, 2023",No,Ebook,"Contemporary, Fiction, Short Stories",Borrowed (Library),⭐️⭐️⭐️⭐️,Done
The Power of Regret,Daniel H. Pink,No,"February 7, 2023","February 7, 2023",No,Audiobook,"Non-fiction, Self-Help",Borrowed (Library),⭐️⭐️,Done
"Thinking, Fast and Slow",Daniel Kahneman,No,"March 16, 2023","January 18, 2023",No,Paperback,"Non-fiction, Psychology",Owned,⭐️⭐️⭐️⭐️,Done
Everyone in This Room Will Someday Be Dead,Emily R. Austin,No,"February 10, 2023","February 9, 2023",Yes,Audiobook,"Contemporary, Fiction",Borrowed (Library),⭐️⭐️⭐️⭐️⭐️,Done
Things Have Gotten Worst Since We Last Spoke and Other Misfortunes,Eric LaRocca,No,"September 30, 2023","September 16, 2023",No,Paperback,"Fiction, Horror, Short Stories, Thriller",Owned,⭐️⭐️⭐️,Done
The Metamorphosis,Franz Kafka,No,,"February 6, 2023",No,Audiobook,"Classics, Fiction",Borrowed (Library),,Done
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,No,"July 22, 2023","February 8, 2023",Yes,Paperback,"Contemporary, Drama, Fiction",Owned,⭐️⭐️⭐️⭐️⭐️,Done
No One is Too Small to Make a Difference,Greta Thunberg,No,"February 6, 2023","February 6, 2023",No,Audiobook,Non-fiction,Borrowed (Library),⭐️⭐️⭐️⭐️,Done
The Travelling Cat Chronicles,Hiro Arikawa,No,"January 1, 2024","November 4, 2023",No,Paperback,"Contemporary, Fiction",Owned,⭐️⭐️⭐️,Done
Atomic Habits,James Clear,No,"February 4, 2023","February 3, 2023",No,Audiobook,"Non-fiction, Self-Help",Borrowed (Library),⭐️⭐️⭐️⭐️,Done
Death is Hard Work,Khaled Khalifa,No,"January 16, 2023","October 13, 2022",No,Paperback,"Fiction, History, War",Owned,⭐️⭐️⭐️,Done
"Gmorning, Gnight!",Lin-Manuel Miranda,No,"February 11, 2023","February 11, 2023",No,Audiobook,"Non-fiction, Poetry, Self-Help",Borrowed (Library),⭐️⭐️⭐️,Done
Except for Palestine: The Limits of Progressive Politics,Marc Lamont-Hill & Mitchell Plitnick,No,"November 12, 2023","October 19, 2023",No,PDF,"Non-fiction, Politics",Owned,⭐️⭐️⭐️⭐️⭐️,Done
The Ghetto Fights: Warsaw 1941-43,Marek Edelman,No,"November 20, 2023","November 12, 2023",No,PDF,"History, Non-fiction, Politics",Owned,⭐️⭐️⭐️⭐️,Done
The Dragon Republic,R. F. Kuang,No,"December 24, 2023","April 4, 2023",No,Paperback,"Fantasy, Fiction, War",Owned,⭐️⭐️⭐️⭐️,Done
The Poppy Wars,R. F. Kuang,No,"April 4, 2023","January 17, 2023",No,Paperback,"Fantasy, Fiction, Historical Fiction, War",Owned,⭐️⭐️⭐️,Done
Two Stories,Sally Rooney,No,"May 19, 2023","May 19, 2023",No,Audiobook,"Contemporary, Fiction, Short Stories",Borrowed (Library),⭐️⭐️,Done
The Ballard of Songbirds and Snakes,Suzanna Collins,No,"December 7, 2023","March 24, 2023",No,Hardback,"Dystopia, Fiction, Sci-Fi",Owned,⭐️⭐️⭐️,Done
The Lily-White Boys,William Maxwell,No,"December 12, 2023","December 12, 2023",No,PDF,"Contemporary, Fiction, Short Stories",Owned,⭐️⭐️⭐️,Done
