Title,Author,DNF?,Date Finished,Date Started,Favourite?,Format,Genre,Owned/Borrowed?,Rating,Status
A Clash of Kings,George R. R. Martin,No,,"November 24, 2022",No,Paperback,"Action, Fantasy, Fiction, History, War",,,In progress
A Day of Fallen Night,Samantha Shannon,No,,,No,TBC,"Action, Fantasy, Fiction",,,Not started
American Born Chinese,Luen Gene Yang,No,,,No,TBC,"Contemporary, Fiction, Graphic Novel",,,Not started
Amora: Stories,Natalia Borges Polesso,No,,,No,TBC,"Contemporary, Fiction, Romance",,,Not started
Chicken with Plums,Marjane Satrapi,No,,,No,TBC,"Graphic Novel, Non-fiction",,,Not started
Cock,Mike Bartlett,No,,,No,TBC,"Contemporary, Fiction",,,Not started
Dark Matter,Blake Crouch,No,,,No,TBC,"Fiction, Mystery, Sci-Fi, Thriller",,,Not started
Dune,Frank Herbert,No,,,No,Paperback,"Classics, Fantasy, Fiction, Sci-Fi",,,Not started
Eat the Rich,Sarah Gailey,No,,,No,TBC,"Fiction, Graphic Novel, Horror",,,Not started
Frankenstein,Mary Shelley,No,,,No,Paperback,"Classics, Fiction, Horror, Period",,,Not started
Giovanni’s Room,James Baldwin,No,,,No,TBC,"Classics, Fiction",,,Not started
Heartstopper Volume 5,Alice Oseman,No,"March 18, 2024","February 18, 2024",No,Paperback,"Fiction, Graphic Novel",Owned,⭐️⭐️⭐️⭐️,Done
Here,Richard McGuire,No,,,No,TBC,"Fiction, Graphic Novel, Historical Fiction",,,Not started
I Want to Die But I Want to Eat Tteokpokki,Se-hee Baek,No,,,No,TBC,Non-fiction,,,Not started
Ice,Anna Kavan,No,,,No,TBC,"Dystopia, Fiction, Sci-Fi",,,Not started
If An Egyptian Cannot Speak English,Noor Naga,No,,,No,TBC,"Contemporary, Fiction",,,Not started
If We Were Villians,M. L. Rio,No,,,No,Paperback,"Contemporary, Crime, Fiction, Mystery, Thriller",,,Not started
Last Night at the Telegraph Club,Malinda Lo,No,,,No,,"Fiction, Historical Fiction, Romance",,,Not started
On Palestine,"Noam Chomsky, Ilan Pappé",No,,,No,Paperback,"Non-fiction, Politics, Social Justice",Owned,,Not started
On Photography,Susan Sontag,No,,"May 26, 2023",No,Paperback,Non-fiction,,,In progress
Orientalism,Edward Said,No,,,No,PDF,"History, Non-fiction, Race",,,Not started
Our Wives Under the Sea,Julia Armfield,No,"March 25, 2024","February 13, 2024",No,Audiobook,"Contemporary, Fiction",Subscription,⭐️⭐️⭐️,Done
Perfume: The Story of a Murderer,Patrick Süskind,No,,,No,TBC,"Crime, Fiction, Horror, Thriller",,,Not started
Pride and Prejudice,Jane Austen,No,,,No,TBC,"Classics, Fiction, Period",,,Not started
Quiet,Susan Cain,No,,,No,Paperback,Non-fiction,,,Not started
Relativity: The Special and the General Theory,Albert Einstein,No,,,No,TBC,Non-fiction,,,Not started
Riambel,Priya Hein,No,"March 3, 2024","February 26, 2024",No,Paperback,"Fiction, Historical Fiction, History",Owned,⭐️⭐️⭐️⭐️⭐️,Done
Romeo And Juliet,William Shakespeare,No,,"March 10, 2024",No,Hardback,"Classics, Fiction",Borrowed,,In progress
Shiver,Junji Ito,No,,,No,,"Fiction, Horror",,,Not started
Sputnik Sweetheart,Haruki Murakami,No,"March 25, 2024","February 22, 2024",No,Paperback,"Contemporary, Fiction",Owned,⭐️⭐️,Done
Sputnik Sweetheart,Haruki Murakami,No,,"February 5, 2024",No,Paperback,"Contemporary, Fiction",Owned,,In progress
Stolen Focus,Jonathan Hari,No,,,No,Paperback,"Non-fiction, Self-Help",,,Not started
Sun and Steel,Yukio Mishima,No,"January 3, 2024","January 1, 2024",No,PDF,"Non-fiction, Philoshophy",Owned,⭐️⭐️⭐️,Done
The 1 Thing,"Gary Kellar, Jay Papasan",No,"January 22, 2024","January 14, 2024",No,Paperback,"Non-fiction, Self-Help",Owned,⭐️⭐️⭐️,Done
The Awakening,Kate Chopin,No,,,No,PDF,"Classics, Historical Fiction, Period",,,Not started
The Burning God,R. F. Kuang,No,,,No,Paperback,"Fantasy, Fiction",Owned,,In progress
The Complete Persopolis,Marjane Satrapi,No,,,No,TBC,"Graphic Novel, Non-fiction",,,Not started
The Drowning Faith,R. F. Kuang,No,"February 4, 2024","February 4, 2024",No,PDF,"Fantasy, Fiction, Short Story",Borrowed,⭐️⭐️⭐️⭐️,Done
The Final Empire,Brandon Sanderson,No,,,No,Audiobook,"Fantasy, Fiction",,,Not started
The Invisible Man,H.G. Wells,No,,,No,TBC,"Fiction, Sci-Fi",,,Not started
The Island of Dr. Moreau,H.G. Wells,No,,,No,TBC,"Fiction, Sci-Fi",,,Not started
The Qur’an,Allah,No,,"November 21, 2023",No,Hardback,,,,In progress
The Shadow of the Wind,Carlos Ruiz Zafón,No,,,No,TBC,"Fantasy, Fiction, Historical Fiction",,,Not started
The Tenant of Wildfell Hall,Anna Brontë,No,,,No,TBC,"Classics, Fiction, Period",,,Not started
The Time Machine,H.G. Wells,No,,,No,TBC,"Fiction, Sci-Fi",,,Not started
The Travelling Cat Chronicles,Hiro Arikawa,No,"January 1, 2024","November 4, 2023",No,Paperback,"Contemporary, Fiction",,⭐️⭐️⭐️,Done
The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,George R. R. Martin,No,,"November 24, 2022",No,PDF,"Action, Fantasy, Fiction, History, War",,,In progress
The Wretched of the Earth,Frantz Fanon,No,,,No,,"History, Non-fiction, Politics",,,Not started
This Thing Between Us,Gus Moreno,No,,,No,TBC,"Fiction, Horror, Mystery, Thriller",,,Not started
"Women, Race and Class",Angela Davis,No,,,No,Paperback,"Feminism, History, Non-fiction, Politics, Race, Social Justice",,,Not started
World of Interiors,Aurelia Guo,No,,,No,TBC,Non-fiction,,,Not started
Yellowface,R. F. Kuang,No,"March 10, 2024","February 26, 2024",No,Audiobook,Fiction,Subscription,⭐️⭐️⭐️,Done
